호출,그룹,키워드,기간,상대검색량
1_내부_그룹합산,브랜드,이니스프리,2021-01,55.77575
1_내부_그룹합산,브랜드,이니스프리,2021-02,62.11824
1_내부_그룹합산,브랜드,이니스프리,2021-03,42.06918
1_내부_그룹합산,브랜드,이니스프리,2021-04,42.55392
1_내부_그룹합산,브랜드,이니스프리,2021-05,55.77738
1_내부_그룹합산,브랜드,이니스프리,2021-06,40.98996
1_내부_그룹합산,브랜드,이니스프리,2021-07,42.4743
1_내부_그룹합산,브랜드,이니스프리,2021-08,41.0697
1_내부_그룹합산,브랜드,이니스프리,2021-09,52.07004
1_내부_그룹합산,브랜드,이니스프리,2021-10,100
1_내부_그룹합산,브랜드,이니스프리,2021-11,53.93777
1_내부_그룹합산,브랜드,이니스프리,2021-12,40.33695
1_내부_그룹합산,브랜드,이니스프리,2022-01,49.93608
1_내부_그룹합산,브랜드,이니스프리,2022-02,51.82918
1_내부_그룹합산,브랜드,이니스프리,2022-03,41.71668
1_내부_그룹합산,브랜드,이니스프리,2022-04,40.05226
1_내부_그룹합산,브랜드,이니스프리,2022-05,57.3539
1_내부_그룹합산,브랜드,이니스프리,2022-06,36.1784
1_내부_그룹합산,브랜드,이니스프리,2022-07,35.08373
1_내부_그룹합산,브랜드,이니스프리,2022-08,36.20377
1_내부_그룹합산,브랜드,이니스프리,2022-09,41.83536
1_내부_그룹합산,브랜드,이니스프리,2022-10,35.35636
1_내부_그룹합산,브랜드,이니스프리,2022-11,47.77976
1_내부_그룹합산,브랜드,이니스프리,2022-12,37.26604
1_내부_그룹합산,브랜드,이니스프리,2023-01,34.2475
1_내부_그룹합산,브랜드,이니스프리,2023-02,43.42405
1_내부_그룹합산,브랜드,이니스프리,2023-03,37.44512
1_내부_그룹합산,브랜드,이니스프리,2023-04,35.17565
1_내부_그룹합산,브랜드,이니스프리,2023-05,44.16648
1_내부_그룹합산,브랜드,이니스프리,2023-06,28.68699
1_내부_그룹합산,브랜드,이니스프리,2023-07,27.21081
1_내부_그룹합산,브랜드,이니스프리,2023-08,33.06919
1_내부_그룹합산,브랜드,이니스프리,2023-09,22.69512
1_내부_그룹합산,브랜드,이니스프리,2023-10,25.61257
1_내부_그룹합산,브랜드,이니스프리,2023-11,29.70707
1_내부_그룹합산,브랜드,이니스프리,2023-12,26.44114
1_내부_그룹합산,브랜드,이니스프리,2024-01,21.81783
1_내부_그룹합산,브랜드,이니스프리,2024-02,25.01218
1_내부_그룹합산,브랜드,이니스프리,2024-03,20.84622
1_내부_그룹합산,브랜드,이니스프리,2024-04,18.76362
1_내부_그룹합산,브랜드,이니스프리,2024-05,27.91204
1_내부_그룹합산,브랜드,이니스프리,2024-06,17.14215
1_내부_그룹합산,브랜드,이니스프리,2024-07,17.15822
1_내부_그룹합산,브랜드,이니스프리,2024-08,18.7699
1_내부_그룹합산,브랜드,이니스프리,2024-09,17.6854
1_내부_그룹합산,브랜드,이니스프리,2024-10,17.28945
1_내부_그룹합산,브랜드,이니스프리,2024-11,19.69429
1_내부_그룹합산,브랜드,이니스프리,2024-12,16.72899
1_내부_그룹합산,브랜드,이니스프리,2025-01,17.62299
1_내부_그룹합산,브랜드,이니스프리,2025-02,15.8841
1_내부_그룹합산,브랜드,이니스프리,2025-03,15.33406
1_내부_그룹합산,브랜드,이니스프리,2025-04,14.63886
1_내부_그룹합산,브랜드,이니스프리,2025-05,16.94775
1_내부_그룹합산,브랜드,이니스프리,2025-06,12.20011
1_내부_그룹합산,브랜드,이니스프리,2025-07,11.41587
1_내부_그룹합산,브랜드,이니스프리,2025-08,15.26801
1_내부_그룹합산,브랜드,이니스프리,2025-09,12.2845
