호출,그룹,키워드,기간,상대검색량
1_이니스프리내부,이니스프리(전체),이니스프리,2021-01,55.77575
1_이니스프리내부,이니스프리(전체),이니스프리,2021-02,62.11824
1_이니스프리내부,이니스프리(전체),이니스프리,2021-03,42.06918
1_이니스프리내부,이니스프리(전체),이니스프리,2021-04,42.55392
1_이니스프리내부,이니스프리(전체),이니스프리,2021-05,55.77738
1_이니스프리내부,이니스프리(전체),이니스프리,2021-06,40.98996
1_이니스프리내부,이니스프리(전체),이니스프리,2021-07,42.4743
1_이니스프리내부,이니스프리(전체),이니스프리,2021-08,41.0697
1_이니스프리내부,이니스프리(전체),이니스프리,2021-09,52.07004
1_이니스프리내부,이니스프리(전체),이니스프리,2021-10,100.0
1_이니스프리내부,이니스프리(전체),이니스프리,2021-11,53.93777
1_이니스프리내부,이니스프리(전체),이니스프리,2021-12,40.33695
1_이니스프리내부,이니스프리(전체),이니스프리,2022-01,49.93608
1_이니스프리내부,이니스프리(전체),이니스프리,2022-02,51.82918
1_이니스프리내부,이니스프리(전체),이니스프리,2022-03,41.71668
1_이니스프리내부,이니스프리(전체),이니스프리,2022-04,40.05226
1_이니스프리내부,이니스프리(전체),이니스프리,2022-05,57.3539
1_이니스프리내부,이니스프리(전체),이니스프리,2022-06,36.1784
1_이니스프리내부,이니스프리(전체),이니스프리,2022-07,35.08373
1_이니스프리내부,이니스프리(전체),이니스프리,2022-08,36.20377
1_이니스프리내부,이니스프리(전체),이니스프리,2022-09,41.83536
1_이니스프리내부,이니스프리(전체),이니스프리,2022-10,35.35636
1_이니스프리내부,이니스프리(전체),이니스프리,2022-11,47.77976
1_이니스프리내부,이니스프리(전체),이니스프리,2022-12,37.26604
1_이니스프리내부,이니스프리(전체),이니스프리,2023-01,34.2475
1_이니스프리내부,이니스프리(전체),이니스프리,2023-02,43.42405
1_이니스프리내부,이니스프리(전체),이니스프리,2023-03,37.44512
1_이니스프리내부,이니스프리(전체),이니스프리,2023-04,35.17565
1_이니스프리내부,이니스프리(전체),이니스프리,2023-05,44.16648
1_이니스프리내부,이니스프리(전체),이니스프리,2023-06,28.68699
1_이니스프리내부,이니스프리(전체),이니스프리,2023-07,27.21081
1_이니스프리내부,이니스프리(전체),이니스프리,2023-08,33.06919
1_이니스프리내부,이니스프리(전체),이니스프리,2023-09,22.69512
1_이니스프리내부,이니스프리(전체),이니스프리,2023-10,25.61257
1_이니스프리내부,이니스프리(전체),이니스프리,2023-11,29.70707
