기간,이니스프리,제주,그린티,기능성,토니모리
2021-01-01,8.8827,0.0477,0.062,0.0274,2.3688
2021-02-01,10.926,0.0477,0.0542,0.032,1.9278
2021-03-01,6.7179,0.0509,0.0546,0.0235,1.7989
2021-04-01,7.0091,0.0561,0.0518,0.0179,1.809
2021-05-01,8.8911,0.0736,0.0478,0.0183,1.8559
2021-06-01,6.7519,0.0711,0.0434,0.0128,2.3857
2021-07-01,6.765,0.0831,0.0433,0.0095,1.7675
2021-08-01,6.547,0.097,0.0572,0.0106,1.6527
2021-09-01,8.5509,0.0693,0.0552,0.1933,1.6897
2021-10-01,15.8375,0.0864,0.0732,0.3879,1.7051
2021-11-01,8.8697,0.0626,0.0638,0.2383,1.9094
2021-12-01,6.4316,0.0584,0.0548,0.1193,1.8947
2022-01-01,7.9399,0.0718,0.0702,0.1579,2.0237
2022-02-01,9.1132,0.0741,0.0808,0.1492,2.3642
2022-03-01,6.6482,0.057,0.074,0.2581,2.0602
2022-04-01,6.5854,0.0712,0.0777,0.2583,3.2719
2022-05-01,9.124,0.0704,0.0889,0.1909,2.4617
2022-06-01,5.9571,0.0663,0.072,0.1161,1.8549
2022-07-01,5.5864,0.0776,0.062,0.098,1.6776
2022-08-01,5.7671,0.0843,0.0599,0.1644,1.5938
2022-09-01,6.8815,0.0806,0.0631,0.2369,1.7264
2022-10-01,5.6352,0.0699,0.0577,0.2525,1.3911
2022-11-01,7.8584,0.057,0.0625,0.2878,1.5559
2022-12-01,5.9384,0.0545,0.0561,0.225,1.9361
2023-01-01,5.4553,0.0639,0.0694,0.4496,1.7698
2023-02-01,7.6488,0.0762,0.0903,0.4822,2.0231
2023-03-01,5.9697,0.0558,0.1457,0.415,1.8315
2023-04-01,5.796,0.0576,0.1877,0.376,1.6852
2023-05-01,7.0345,0.0637,0.1756,0.3694,1.7017
2023-06-01,4.7299,0.0614,0.1529,0.4495,1.6834
2023-07-01,4.3423,0.0601,0.1302,0.3933,1.4281
2023-08-01,5.2686,0.063,0.1231,0.511,2.688
2023-09-01,3.7431,0.0478,0.0974,0.4024,1.5315
2023-10-01,4.0901,0.0427,0.1087,0.4774,1.3713
2023-11-01,4.8932,0.043,0.1138,0.5226,1.7498
2023-12-01,4.2183,0.0403,0.1001,0.3865,1.4944
2024-01-01,3.4895,0.0437,0.1001,0.4075,2.1791
2024-02-01,4.255,0.0463,0.0861,0.4342,1.7457
2024-03-01,3.3266,0.0369,0.0795,0.3963,1.6336
2024-04-01,3.1053,0.0381,0.0721,0.3571,2.2947
2024-05-01,4.4473,0.0411,0.0648,0.4551,2.6636
2024-06-01,2.8316,0.0382,0.0604,0.3706,3.1655
2024-07-01,2.7377,0.0419,0.0539,0.3771,2.2916
2024-08-01,2.9934,0.0462,0.0544,0.4241,1.8061
2024-09-01,2.9122,0.0374,0.0467,0.4098,1.602
2024-10-01,2.7573,0.0295,0.0541,0.4418,1.4359
2024-11-01,3.2508,0.0548,0.0531,0.3975,1.4338
2024-12-01,2.667,0.0616,0.0503,0.312,1.2817
2025-01-01,2.805,0.0339,0.0516,0.4355,1.3398
2025-02-01,2.803,0.0307,0.052,0.4557,2.6113
2025-03-01,2.4462,0.0517,0.0389,0.3487,2.4865
2025-04-01,2.4128,0.0555,0.0397,0.2839,1.9555
2025-05-01,2.7036,0.0558,0.0454,0.2459,1.7701
2025-06-01,2.0504,0.0501,0.0395,0.204,2.3628
2025-07-01,1.8272,0.0506,0.032,0.1839,2.0432
2025-08-01,2.4319,0.0555,0.0291,0.2722,1.484
2025-09-01,2.0258,0.0376,0.0413,0.2267,1.327
2025-10-01,1.6794,0.0373,0.0459,0.1743,1.4002
2025-11-01,2.5227,0.0345,0.0659,0.2131,1.5261
2025-12-01,1.9546,0.0251,0.0931,0.1924,1.2611
